x-axis,IN,OUT
second,Volt,Volt
-3.78000E-03,-6.07617188E+00,+5.49609375E+00
-3.76000E-03,-6.03710938E+00,+5.45703125E+00
-3.74000E-03,-5.99804688E+00,+5.41796875E+00
-3.72000E-03,-5.95898438E+00,+5.37890625E+00
-3.70000E-03,-5.91992188E+00,+5.33984375E+00
-3.68000E-03,-5.88085938E+00,+5.31054688E+00
-3.66000E-03,-5.84179688E+00,+5.27148438E+00
-3.64000E-03,-5.80273438E+00,+5.23242188E+00
-3.62000E-03,-5.76367188E+00,+5.19335938E+00
-3.60000E-03,-5.72460938E+00,+5.15429688E+00
-3.58000E-03,-5.68554688E+00,+5.11523438E+00
-3.56000E-03,-5.63671875E+00,+5.07617188E+00
-3.54000E-03,-5.59765625E+00,+5.03710938E+00
-3.52000E-03,-5.55859375E+00,+4.99804688E+00
-3.50000E-03,-5.51953125E+00,+4.95898438E+00
-3.48000E-03,-5.49023438E+00,+4.92968750E+00
-3.46000E-03,-5.45117188E+00,+4.89062500E+00
-3.44000E-03,-5.41210938E+00,+4.85156250E+00
-3.42000E-03,-5.37304688E+00,+4.81250000E+00
-3.40000E-03,-5.32421875E+00,+4.77343750E+00
-3.38000E-03,-5.28515625E+00,+4.72460938E+00
-3.36000E-03,-5.24609375E+00,+4.68554688E+00
-3.34000E-03,-5.20703125E+00,+4.63671875E+00
-3.32000E-03,-5.16796875E+00,+4.59765625E+00
-3.30000E-03,-5.12890625E+00,+4.55859375E+00
-3.28000E-03,-5.08984375E+00,+4.51953125E+00
-3.26000E-03,-5.05078125E+00,+4.48046875E+00
-3.24000E-03,-5.02148438E+00,+4.44140625E+00
-3.22000E-03,-4.98242188E+00,+4.40234375E+00
-3.20000E-03,-4.94335938E+00,+4.36328125E+00
-3.18000E-03,-4.90429688E+00,+4.32421875E+00
-3.16000E-03,-4.86523438E+00,+4.28515625E+00
-3.14000E-03,-4.82617188E+00,+4.24609375E+00
-3.12000E-03,-4.78710938E+00,+4.20703125E+00
-3.10000E-03,-4.74804688E+00,+4.16796875E+00
-3.08000E-03,-4.71875000E+00,+4.12890625E+00
-3.06000E-03,-4.67968750E+00,+4.08984375E+00
-3.04000E-03,-4.64062500E+00,+4.04101563E+00
-3.02000E-03,-4.60156250E+00,+4.00195313E+00
-3.00000E-03,-4.55273438E+00,+3.96289063E+00
-2.98000E-03,-4.51367188E+00,+3.92382813E+00
-2.96000E-03,-4.47460938E+00,+3.88476563E+00
-2.94000E-03,-4.43554688E+00,+3.84570313E+00
-2.92000E-03,-4.39648438E+00,+3.80664063E+00
-2.90000E-03,-4.35742188E+00,+3.76757813E+00
-2.88000E-03,-4.31835938E+00,+3.72851563E+00
-2.86000E-03,-4.27929688E+00,+3.68945313E+00
-2.84000E-03,-4.24023438E+00,+3.65039063E+00
-2.82000E-03,-4.21093750E+00,+3.61132813E+00
-2.80000E-03,-4.17187500E+00,+3.57226563E+00
-2.78000E-03,-4.13281250E+00,+3.54296875E+00
-2.76000E-03,-4.10351563E+00,+3.50390625E+00
-2.74000E-03,-4.06445313E+00,+3.46484375E+00
-2.72000E-03,-4.03515625E+00,+3.42578125E+00
-2.70000E-03,-3.99609375E+00,+3.39648438E+00
-2.68000E-03,-3.95703125E+00,+3.35742188E+00
-2.66000E-03,-3.91796875E+00,+3.31835938E+00
-2.64000E-03,-3.87890625E+00,+3.27929688E+00
-2.62000E-03,-3.84960938E+00,+3.24023438E+00
-2.60000E-03,-3.81054688E+00,+3.20117188E+00
-2.58000E-03,-3.78125000E+00,+3.15234375E+00
-2.56000E-03,-3.74218750E+00,+3.11328125E+00
-2.54000E-03,-3.70312500E+00,+3.07421875E+00
-2.52000E-03,-3.66406250E+00,+3.03515625E+00
-2.50000E-03,-3.62500000E+00,+2.99609375E+00
-2.48000E-03,-3.58593750E+00,+2.95703125E+00
-2.46000E-03,-3.54687500E+00,+2.90820313E+00
-2.44000E-03,-3.50781250E+00,+2.86914063E+00
-2.42000E-03,-3.47851563E+00,+2.83007813E+00
-2.40000E-03,-3.43945313E+00,+2.80078125E+00
-2.38000E-03,-3.40039063E+00,+2.76171875E+00
-2.36000E-03,-3.36132813E+00,+2.73242188E+00
-2.34000E-03,-3.32226563E+00,+2.69335938E+00
-2.32000E-03,-3.29296875E+00,+2.65429688E+00
-2.30000E-03,-3.24414063E+00,+2.61523438E+00
-2.28000E-03,-3.21484375E+00,+2.58593750E+00
-2.26000E-03,-3.16601563E+00,+2.54687500E+00
-2.24000E-03,-3.12695313E+00,+2.51757813E+00
-2.22000E-03,-3.08789063E+00,+2.47851563E+00
-2.20000E-03,-3.04882813E+00,+2.43945313E+00
-2.18000E-03,-3.00976563E+00,+2.40039063E+00
-2.16000E-03,-2.97070313E+00,+2.36132813E+00
-2.14000E-03,-2.93164063E+00,+2.33203125E+00
-2.12000E-03,-2.89257813E+00,+2.29296875E+00
-2.10000E-03,-2.86328125E+00,+2.26367188E+00
-2.08000E-03,-2.81445313E+00,+2.23437500E+00
-2.06000E-03,-2.77539063E+00,+2.19531250E+00
-2.04000E-03,-2.74609375E+00,+2.15625000E+00
-2.02000E-03,-2.70703125E+00,+2.11718750E+00
-2.00000E-03,-2.66796875E+00,+2.07812500E+00
-1.98000E-03,-2.63867188E+00,+2.03906250E+00
-1.96000E-03,-2.58984375E+00,+2.00000000E+00
-1.94000E-03,-2.56054688E+00,+1.96093750E+00
-1.92000E-03,-2.52148438E+00,+1.91210938E+00
-1.90000E-03,-2.48242188E+00,+1.88281250E+00
-1.88000E-03,-2.43359375E+00,+1.84375000E+00
-1.86000E-03,-2.39453125E+00,+1.80468750E+00
-1.84000E-03,-2.36523438E+00,+1.76562500E+00
-1.82000E-03,-2.31640625E+00,+1.72656250E+00
-1.80000E-03,-2.27734375E+00,+1.67773438E+00
-1.78000E-03,-2.23828125E+00,+1.63867188E+00
-1.76000E-03,-2.19921875E+00,+1.59960938E+00
-1.74000E-03,-2.16015625E+00,+1.55078125E+00
-1.72000E-03,-2.12109375E+00,+1.52148438E+00
-1.70000E-03,-2.09179688E+00,+1.48242188E+00
-1.68000E-03,-2.05273438E+00,+1.44335938E+00
-1.66000E-03,-2.01367188E+00,+1.40429688E+00
-1.64000E-03,-1.96484375E+00,+1.37500000E+00
-1.62000E-03,-1.92578125E+00,+1.33593750E+00
-1.60000E-03,-1.88671875E+00,+1.29687500E+00
-1.58000E-03,-1.84765625E+00,+1.25781250E+00
-1.56000E-03,-1.80859375E+00,+1.21875000E+00
-1.54000E-03,-1.76953125E+00,+1.17968750E+00
-1.52000E-03,-1.73046875E+00,+1.14062500E+00
-1.50000E-03,-1.69140625E+00,+1.10156250E+00
-1.48000E-03,-1.65234375E+00,+1.06250000E+00
-1.46000E-03,-1.61328125E+00,+1.02343750E+00
-1.44000E-03,-1.57421875E+00,+984.37500E-03
-1.42000E-03,-1.53515625E+00,+945.31250E-03
-1.40000E-03,-1.49609375E+00,+896.48438E-03
